original_title,vote_average,genres,cast,id,director,keywords
Man on the Moon,6.9,"['Comedy', 'Drama', 'Romance']","['BobZmuda', 'CourtneyLove', 'DannyDeVito', 'JimCarrey']",1850,Miloš Forman,"['comedian', 'showbusiness', 'wrestling']"
Casino,7.8,"['Crime', 'Drama']","['JamesWoods', 'JoePesci', 'RobertDeNiro', 'SharonStone']",524,Martin Scorsese,"['1970s', 'drugabuse', 'illegalprostitution', 'overdose', 'poker']"
From Paris with Love,6.1,"['Action', 'Crime', 'Thriller']","['JohnTravolta', 'JonathanRhysMeyers', 'KasiaSmutniak', 'RichardDurden']",26389,Pierre Morel,"['ambassador', 'antihero', 'carcrash', 'cia', 'deception', 'explosive', 'firearm', 'french', 'gang', 'paris', 'pimp', 'politician', 'revelation', 'undercover']"
Bulletproof Monk,5.1,"['Action', 'Comedy', 'Fantasy']","['ChowYun-fat', 'JaimeKing', 'KarelRoden', 'SeannWilliamScott']",11817,Paul Hunter,"['fall', 'homelessperson', 'injection', 'knifefight', 'monk', 'scroll', 'theforce']"
"Me, Myself & Irene",6.1,['Comedy'],"['AnthonyAnderson', 'JimCarrey', 'RenéeZellweger', 'RobertForster']",2123,Bobby Farrelly,"['aftercreditsstinger', 'duringcreditsstinger', 'ex-cop', 'schizophrenia']"
Barnyard,5.3,"['Animation', 'Comedy', 'Family']","['CourteneyCox', 'DannyGlover', 'KevinJames', 'SamElliott']",9907,Steve Oedekerk,"['cojote', 'cow', 'family', 'farm', 'peasant']"
Deck the Halls,5.1,"['Comedy', 'Family']","['DannyDeVito', 'KristinChenoweth', 'KristinDavis', 'MatthewBroderick']",9969,John Whitesell,"['christmas', 'holiday', 'massachusetts', 'neighbor']"
The Twilight Saga: New Moon,5.6,"['Adventure', 'Drama', 'Fantasy', 'Romance']","['BillyBurke', 'KristenStewart', 'RobertPattinson', 'TaylorLautner']",18239,Chris Weitz,"['cinema', 'fangvamp', 'moon', 'vampire', 'werewolf']"
Shrek,7.3,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['CameronDiaz', 'EddieMurphy', 'JohnLithgow', 'MikeMyers']",808,Andrew Adamson,"['castle', 'enchantment', 'fairy-talefigure', 'liberation', 'lordship', 'magic', 'ogre', 'parody', 'princess', 'robinhood', 'womandirector']"
The Adjustment Bureau,6.5,"['Romance', 'ScienceFiction', 'Thriller']","['AnthonyMackie', 'EmilyBlunt', 'JohnSlattery', 'MattDamon']",38050,George Nolfi,"['alone', 'basedonshortstory', 'courthouse', 'covertagency', 'dancer', 'fate', 'footchase', 'future', 'hat', 'honesty', 'hotel', 'kiss', 'marriage', 'plan', 'politicalcampaign', 'politician', 'senator', 'speech']"
Robin Hood: Prince of Thieves,6.6,['Adventure'],"['ChristianSlater', 'KevinCostner', 'MaryElizabethMastrantonio', 'MorganFreeman']",8367,Kevin Reynolds,"['crusade', 'england', 'folkhero', 'mercifulness', 'robinhood']"
Jerry Maguire,6.7,"['Comedy', 'Drama', 'Romance']","['CubaGoodingJr.', 'KellyPreston', 'RenéeZellweger', 'TomCruise']",9390,Cameron Crowe,"['career', 'sport', 'sportsagent', 'stadium']"
Ted,6.3,"['Comedy', 'Fantasy']","['JoelMcHale', 'MarkWahlberg', 'MilaKunis', 'SethMacFarlane']",72105,Seth MacFarlane,"['friendship', 'love', 'teddybear', 'toycomestolife', 'wishescometrue']"
As Good as It Gets,7.2,"['Comedy', 'Romance']","['CubaGoodingJr.', 'GregKinnear', 'HelenHunt', 'JackNicholson']",2898,James L. Brooks,"['author', 'cowardliness', 'dog', 'friendship', 'lonewolf', 'neighbor', 'noodlesalad', 'obnoxious', 'rude', 'singleparent', 'unlikelyfriendship', 'waitress', 'writer']"
Patch Adams,7.0,"['Comedy', 'Drama']","['BobGunton', 'PeterCoyote', 'PhilipSeymourHoffman', 'RobinWilliams']",10312,Tom Shadyac,"['doctor', 'hospital', 'laughter', 'nurse']"
Anchorman 2: The Legend Continues,6.0,['Comedy'],"['ChristinaApplegate', 'PaulRudd', 'SteveCarell', 'WillFerrell']",109443,Adam McKay,"['aftercreditsstinger', 'gangwarfare', 'journalism', 'mustache', 'newsroom', 'newsspoof', 'tvnews', 'tvnewsanchor']"
Mr. Deeds,5.6,"['Comedy', 'Romance']","['AdamSandler', 'AllenCovert', 'JohnTurturro', 'WinonaRyder']",2022,Steven Brill,"['appletree', 'billionaire', 'chryslerbuilding', 'citycountrycontrast', 'corporatetakeover', 'fable', 'ferrari', 'inheritance', 'kindness', 'liar', 'loveletter', 'newhampshire', 'newyorkcity']"
Super 8,6.6,"['Mystery', 'ScienceFiction', 'Thriller']","['ElleFanning', 'JoelCourtney', 'KyleChandler', 'RileyGriffiths']",37686,J.J. Abrams,"['1970s', 'alien', 'duringcreditsstinger', 'firecracker', 'pistol', 'secret', 'traincrash']"
Erin Brockovich,7.1,['Drama'],"['AaronEckhart', 'AlbertFinney', 'JuliaRoberts', 'MargHelgenberger']",462,Steven Soderbergh,"['basedontruestory', 'biography', 'environmentallaw', 'singlemother', 'waterpollution']"
How to Lose a Guy in 10 Days,6.3,"['Comedy', 'Romance']","['AnnieParisse', 'KateHudson', 'KathrynHahn', 'MatthewMcConaughey']",9919,Donald Petrie,"['advertisingexpert', 'bet', 'journalist', 'newyork', 'relationship', 'therapist']"
22 Jump Street,7.0,"['Action', 'Comedy', 'Crime']","['ChanningTatum', 'DaveFranco', 'IceCube', 'JonahHill']",187017,Phil Lord,"['aftercreditsstinger', 'buddycomedy', 'duringcreditsstinger', 'highschool', 'undercovercop']"
Interview with the Vampire,7.2,"['Horror', 'Romance']","['AntonioBanderas', 'BradPitt', 'KirstenDunst', 'TomCruise']",628,Neil Jordan,"['bite', 'fangvamp', 'paris', 'pity', 'plantation', 'sanfrancisco', 'vampire']"
Yes Man,6.4,['Comedy'],"['JimCarrey', 'RhysDarby', 'SashaAlexander', 'ZooeyDeschanel']",10201,Peyton Reed,"['bungee-jump', 'scooter']"
Central Intelligence,6.2,"['Action', 'Comedy']","['AaronPaul', 'AmyRyan', 'DwayneJohnson', 'KevinHart']",302699,Rawson Marshall Thurber,"['accountant', 'cia', 'espionage', 'highschoolreunion', 'referencetofacebook', 'spy']"
Stepmom,6.9,"['Drama', 'Romance']","['EdHarris', 'JenaMalone', 'JuliaRoberts', 'SusanSarandon']",9441,Chris Columbus,"['custody', 'divorce', 'freezeframe', 'photoshoot', 'rebelliousdaughter', 'schoolplay']"
Daddy's Home,5.8,['Comedy'],"['LindaCardellini', 'MarkWahlberg', 'ThomasHadenChurch', 'WillFerrell']",274167,Sean Anders,['daddyshome']
Into the Woods,5.6,"['Comedy', 'Fantasy', 'Music']","['AnnaKendrick', 'EmilyBlunt', 'JamesCorden', 'MerylStreep']",224141,Rob Marshall,"['basedonstagemusical', 'beanstalk', 'cinderella', 'curse', 'duringcreditsstinger', 'fairytale', 'musical', 'prince', 'princess', 'redridinghood', 'sondheim', 'witch']"
Inside Man,7.3,"['Crime', 'Drama', 'Thriller']","['ChristopherPlummer', 'CliveOwen', 'DenzelWashington', 'JodieFoster']",388,Spike Lee,"['bankmanager', 'courtcase', 'document', 'financialtransactions', 'heist', 'kidnapping', 'nazibackground', 'ultimatum']"
Payback,6.7,"['Action', 'Crime', 'Drama', 'Thriller']","['GreggHenry', 'KrisKristofferson', 'MariaBello', 'MelGibson']",2112,Brian Helgeland,"['criminal', 'heroin', 'money', 'newyork']"
Congo,5.0,"['Action', 'Adventure', 'Drama', 'Mystery', 'ScienceFiction', 'Thriller']","['DylanWalsh', 'ErnieHudson', 'LauraLinney', 'TimCurry']",10329,Frank Marshall,"['diamond', 'diamondmine', 'gorilla', 'kongo']"
We Bought a Zoo,6.5,"['Comedy', 'Drama', 'Family']","['ColinFord', 'MattDamon', 'ScarlettJohansson', 'ThomasHadenChurch']",74465,Cameron Crowe,['zoo']
Knowing,5.9,"['Action', 'Adventure', 'Drama', 'Mystery', 'ScienceFiction', 'Thriller']","['BenMendelsohn', 'ChandlerCanterbury', 'NicolasCage', 'RoseByrne']",13811,Alex Proyas,"['astrophysicist', 'cataclysm', 'code', 'endoftheworld', 'grievingwidower', 'lexingtonmassachusetts', 'news', 'numbers', 'prediction', 'researcher', 'suspense', 'timecapsule', 'westfordmassachusetts']"
Failure to Launch,5.5,['Comedy'],"['JustinBartha', 'MatthewMcConaughey', 'SarahJessicaParker', 'ZooeyDeschanel']",6877,Tom Dey,"['hotelmom', 'livingwithparents', 'lying', 'pretendrelationship', 'romanticcomedy']"
The Ring Two,5.4,"['Drama', 'Horror', 'Thriller']","['DavidDorfman', 'ElizabethPerkins', 'NaomiWatts', 'SimonBaker']",10320,Hideo Nakata,"['basedonnovel', 'bathtub', 'evilchild', 'goodvsevil', 'mentalinstitution', 'nightmare', 'nun', 'remake', 'sequel', 'son', 'videotape', 'vision', 'womanreporter']"
"Crazy, Stupid, Love.",7.0,"['Comedy', 'Drama', 'Romance']","['EmmaStone', 'JulianneMoore', 'RyanGosling', 'SteveCarell']",50646,Glenn Ficarra,"['crazy', 'lawschool', 'marriagecrisis', 'midlifecrisis', 'relationship', 'soulmates', 'womanizer']"
Garfield,5.2,"['Animation', 'Comedy', 'Family']","['BillMurray', 'BreckinMeyer', 'JenniferLoveHewitt', 'StephenTobolowsky']",8920,Peter Hewitt,"['competition', 'garfield', 'lasagne', 'moderator']"
Christmas with the Kranks,5.2,"['Comedy', 'Family']","['DanAykroyd', 'JamieLeeCurtis', 'M.EmmetWalsh', 'TimAllen']",13673,Joe Roth,"['christmas', 'holiday']"
Moneyball,7.0,['Drama'],"['BradPitt', 'JonahHill', 'PhilipSeymourHoffman', 'RobinWright']",60308,Bennett Miller,"['baseball', 'basedonnovel', 'meeting', 'oaklandcalifornia', 'partner', 'sport', 'statistics', 'strategy', 'teamwork', 'underdog', 'voiceover']"
Outbreak,6.3,"['Action', 'Drama', 'ScienceFiction', 'Thriller']","['DustinHoffman', 'KevinSpacey', 'MorganFreeman', 'ReneRusso']",6950,Wolfgang Petersen,"['army', 'epidemic', 'general', 'medicalresearch', 'monkey', 'research', 'river', 'serum']"
Non-Stop,6.8,"['Action', 'Mystery', 'Thriller']","['JulianneMoore', 'LiamNeeson', 'MichelleDockery', 'ScootMcNairy']",225574,Jaume Collet-Serra,"['airplane', 'airplanecrash', 'cellphone', 'conspiracy', 'hijack', 'mysterykiller', 'onenight']"
Race to Witch Mountain,5.5,"['Action', 'Adventure', 'Family', 'Fantasy', 'ScienceFiction', 'Thriller']","['AlexanderLudwig', 'AnnaSophiaRobb', 'CarlaGugino', 'DwayneJohnson']",13836,Andy Fickman,"['alien', 'duringcreditsstinger', 'laser', 'military', 'mountain', 'spacecraft', 'supernaturalpower', 'telekinesis', 'teleportation']"
V for Vendetta,7.7,"['Action', 'Fantasy', 'Thriller']","['HugoWeaving', 'NataliePortman', 'StephenFry', 'StephenRea']",752,James McTeigue,"['activist', 'catholicguilt', 'catholicism', 'catholicpriest', 'chancellor', 'detective', 'dystopia', 'fascism', 'fascist', 'gnosticism', 'government', 'hatred', 'irishcatholic', 'jesuit', 'jesuitpriest', 'maskedvigilante', 'occultism', 'personificationofsatan', 'revenge', 'satanism', 'torture', 'vatican', 'vengeful', 'vengefulspirit']"
Shanghai Knights,6.0,"['Action', 'Adventure', 'Comedy', 'Western']","['AaronTaylor-Johnson', 'FannWong', 'JackieChan', 'OwenWilson']",6038,David Dobkin,"['arrow', 'duringcreditsstinger', 'emperor', 'imperialseal', 'indianterritory', 'londonengland', 'murder', 'revenge']"
Curious George,6.2,"['Adventure', 'Animation', 'Comedy', 'Family']","['DavidCross', 'DrewBarrymore', 'EugeneLevy', 'WillFerrell']",9975,Matthew O'Callaghan,"['balloon', 'cargoship', 'curiosity', 'family', 'jungle', 'monkey', 'museum', 'prediction', 'productplacement']"
Herbie Fully Loaded,5.1,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']","['BreckinMeyer', 'LindsayLohan', 'MattDillon', 'MichaelKeaton']",11451,Angela Robinson,"['car', 'carrace', 'nascar', 'victory', 'womandirector']"
Don't Say a Word,6.0,['Thriller'],"['BrittanyMurphy', 'MichaelDouglas', 'SeanBean', 'SkyeMcColeBartusiak']",12103,Gary Fleder,"['cemetery', 'diamant', 'killer', 'psychiatrist', 'suspense']"
Hansel & Gretel: Witch Hunters,5.7,"['Action', 'Fantasy', 'Horror']","['FamkeJanssen', 'GemmaArterton', 'JeremyRenner', 'PihlaViitala']",60304,Tommy Wirkola,"['3d', 'blackmagic', 'duringcreditsstinger', 'evil', 'evilwitch', 'extremeviolence', 'goodvsevil', 'guns', 'hanselandgretel', 'steampunk', 'troll', 'violence', 'witch', 'witchcraft', 'witchhunt', 'witchhunter']"
Unfaithful,6.3,"['Drama', 'Thriller']","['DianeLane', 'ErikPerSullivan', 'OlivierMartinez', 'RichardGere']",2251,Adrian Lyne,"['adultery', 'eroticism', 'eroticthriller', 'infidelity', 'literature', 'lover', 'newyorkcity']"
I Am Number Four,5.9,"['Action', 'Adventure', 'ScienceFiction', 'Thriller']","['AlexPettyfer', 'DiannaAgron', 'TeresaPalmer', 'TimothyOlyphant']",46529,D.J. Caruso,"['alien', 'alienteenager', 'basedonyoungadultnovel', 'interspeciesromance', 'secretidentity', 'superpowers', 'teenageboy', 'teenagehero']"
Syriana,6.3,"['Drama', 'Thriller']","['ChrisCooper', 'GeorgeClooney', 'JeffreyWright', 'MattDamon']",231,Stephen Gaghan,"['antiterror', 'assassination', 'bomb', 'capitalism', 'cia', 'energypolicy', 'globalization', 'lebanon', 'lossofson', 'middleeast', 'persia', 'petrol', 'waragainstterror']"
13 Hours: The Secret Soldiers of Benghazi,7.0,"['Action', 'Drama', 'History', 'Thriller', 'War']","['JamesBadgeDale', 'JohnKrasinski', 'MaxMartini', 'PabloSchreiber']",300671,Michael Bay,"['21stcentury', 'americanabroad', 'assaultrifle', 'basedonnovel', 'basedontruestory', 'biography', 'ciaagent', 'death', 'explosion', 'heroism', 'libya', 'mercenary', 'u.s.ambassador']"
The Book of Life,7.3,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']","['ChanningTatum', 'ChristinaApplegate', 'DiegoLuna', 'ZoeSaldana']",228326,Jorge R. Gutierrez,"['afterlife', 'bullfighting', 'dayofthedead', 'lovetriangle']"
Firewall,5.6,['Thriller'],"['CarlySchroeder', 'HarrisonFord', 'PaulBettany', 'VirginiaMadsen']",9754,Richard Loncraine,"['bank', 'blackmail', 'computerhacker', 'firewall', 'hacker', 'seattle', 'technology']"
Absolute Power,6.4,"['Crime', 'Drama', 'Thriller']","['ClintEastwood', 'EdHarris', 'GeneHackman', 'ScottGlenn']",66,Clint Eastwood,"['assassination', 'corruption', 'daughter', 'government', 'rape', 'secretservice', 'secretserviceagent', 'suspense', 'usapresident', 'washingtond.c.', 'whitehouse']"
G.I. Jane,6.0,"['Action', 'Drama']","['AnneBancroft', 'DemiMoore', 'JasonBeghe', 'ViggoMortensen']",4421,Ridley Scott,"['army', 'armybase', 'commando', 'drillinstructor', 'feminist', 'helicopter', 'mentalhealth', 'middleeast', 'military', 'navy', 'navyseal', 'poem', 'reconnaissance', 'satellite', 'sexism', 'sexualdiscrimination', 'sexualharassment', 'soldier', 'u.s.military', 'war']"
The Game,7.5,"['Drama', 'Mystery', 'Thriller']","['DeborahKaraUnger', 'JamesRebhorn', 'MichaelDouglas', 'SeanPenn']",2649,David Fincher,"['birthday', 'birthdayparty', 'brotherbrotherrelationship', 'dangeroflife', 'surprising']"
Silent Hill,6.3,"['Horror', 'Mystery']","['DeborahKaraUnger', 'LaurieHolden', 'RadhaMitchell', 'SeanBean']",588,Christophe Gans,"['anotherdimension', 'basedonvideogame', 'blood', 'burningofwitches', 'creature', 'darkness', 'demon', 'dismemberment', 'fog', 'ghosttown', 'goodvsevil', 'gore', 'monster', 'motherrole', 'religiousfanatic', 'revenge', 'sadism', 'sleepwalking', 'suffering', 'supernatural', 'surrealism', 'survival', 'torture', 'violence', 'witchburning']"
The Replacements,6.1,['Comedy'],"['BrookeLangton', 'GeneHackman', 'KeanuReeves', 'OrlandoJones']",10393,Howard Deutch,"['americanfootball', 'americanfootballplayer', 'coach', 'misfit', 'sport', 'strike']"
American Reunion,6.1,['Comedy'],"['AlysonHannigan', 'ChrisKlein', 'JasonBiggs', 'SeannWilliamScott']",71552,Jon Hurwitz,"['duringcreditsstinger', 'familyreunion', 'highschoolreunion', 'masturbation', 'milf', 'quittingajob', 'scat', 'sequel', 'wifehusbandrelationship']"
The Negotiator,6.8,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']","['DavidMorse', 'KevinSpacey', 'RonRifkin', 'SamuelL.Jackson']",9631,F. Gary Gray,"['bulletwound', 'conspiracy', 'corruption', 'hostage', 'hostage-taking', 'innocence', 'murder', 'negotiator', 'pension', 'police', 'suspense']"
Into the Storm,5.8,"['Action', 'Thriller']","['MattWalsh', 'NathanKress', 'RichardArmitage', 'SarahWayneCallies']",216282,Steven Quale,"['disastermovie', 'foundfootage', 'student', 'tornado']"
Beverly Hills Cop III,5.5,"['Action', 'Comedy', 'Crime']","['EddieMurphy', 'GilbertR.Hill', 'HéctorElizondo', 'JudgeReinhold']",306,John Landis,"['amusementpark', 'beverlyhills', 'buddycomedy', 'carchase', 'carousel', 'counterfeit', 'detective', 'dirtycop', 'explosion', 'footchase', 'framed', 'gunfight', 'investigation', 'losangeles', 'rescue', 'rollercoaster', 'secretservice', 'securitycamera', 'sequel', 'shootout', 'undercover', 'violence', 'weapon']"
Gremlins 2: The New Batch,6.2,"['Comedy', 'Fantasy', 'Horror']","['JohnGlover', 'PhoebeCates', 'RobertProsky', 'ZachGalligan']",928,Joe Dante,"['bat', 'cleverness', 'cowardliness', 'current', 'dyinganddeath', 'electricshock', 'fur', 'gremlin', 'humananimalrelationship', 'monster', 'mutant', 'mutation', 'newyork', 'researchstation', 'restaurant', 'skyscraper', 'tvstation', 'water']"
The Judge,7.2,['Drama'],"['RobertDowneyJr.', 'RobertDuvall', 'VeraFarmiga', 'VincentDOnofrio']",205587,David Dobkin,"['fathersonrelationship', 'judge', 'lawyer']"
The Peacemaker,5.8,"['Action', 'Thriller']","['GeorgeClooney', 'GoranVisnjic', 'MarcelIureș', 'NicoleKidman']",6623,Mimi Leder,"['bridge', 'helicopter', 'nuclearmissile', 'terrorist', 'train', 'traincrash', 'womandirector']"
Resident Evil: Apocalypse,6.1,"['Action', 'Horror', 'ScienceFiction']","['MillaJovovich', 'OdedFehr', 'SiennaGuillory', 'ThomasKretschmann']",1577,Alexander Witt,"['basedonvideogame', 'conspiracy', 'dystopia', 'evilcorporation', 'martialarts', 'mutant', 'rescue', 'zombie']"
Bridget Jones: The Edge of Reason,6.1,"['Comedy', 'Romance']","['ColinFirth', 'HughGrant', 'JimBroadbent', 'RenéeZellweger']",9801,Beeban Kidron,"['capture', 'clumsyfellow', 'londonengland', 'lovesickness', 'thailand', 'todropbrick', 'womandirector']"
Out of Time,6.1,"['Crime', 'Drama', 'Thriller']","['DenzelWashington', 'EvaMendes', 'JohnBillingsley', 'SanaaLathan']",2116,Carl Franklin,"['divorce', 'doublemurder', 'florida', 'miami']"
On Deadly Ground,4.5,"['Action', 'Thriller']","['JoanChen', 'JohnC.McGinley', 'MichaelCaine', 'StevenSeagal']",9624,Steven Seagal,"['alaska', 'company', 'enviromental', 'fight', 'inuit', 'petrol']"
The Adventures of Sharkboy and Lavagirl,4.4,"['Adventure', 'Family', 'ScienceFiction']","['CaydenBoyd', 'DavidArquette', 'TaylorDooley', 'TaylorLautner']",14199,Robert Rodriguez,"['imaginaryfriend', 'outcast']"
The Beach,6.3,"['Adventure', 'Drama', 'Romance', 'Thriller']","['GuillaumeCanet', 'LeonardoDiCaprio', 'TildaSwinton', 'VirginieLedoyen']",1907,Danny Boyle,"['backpacker', 'beach', 'community', 'delusion', 'exoticisland', 'extramaritalaffair', 'groupdynamics', 'hippie', 'leader', 'map', 'marijuana', 'shark', 'sharkattack', 'thailand', 'youth']"
Raising Helen,5.9,"['Comedy', 'Drama', 'Romance']","['HaydenPanettiere', 'JoanCusack', 'JohnCorbett', 'KateHudson']",4599,Garry Marshall,"['familyrelationships', 'fashiondesigner', 'lossofparents', 'mannequin', 'newyork', 'pastor', 'worldoffasion']"
Ninja Assassin,6.2,"['Action', 'Crime', 'Thriller']","['NaomieHarris', 'Rain', 'RandallDukKim', 'SungKang']",22832,James McTeigue,"['assassin', 'assassination', 'ninja', 'ninjafighter', 'ninjutsu', 'revenge']"
For Love of the Game,6.3,"['Drama', 'Romance']","['JenaMalone', 'JohnC.Reilly', 'KellyPreston', 'KevinCostner']",10390,Sam Raimi,"['baseball', 'career', 'legend', 'sport', 'trainer', 'training']"
Striptease,4.4,"['Crime', 'Drama', 'Thriller']","['ArmandAssante', 'BurtReynolds', 'DemiMoore', 'VingRhames']",9879,Andrew Bergman,"['blackmail', 'police', 'stripclub', 'striptease', 'u.s.congress']"
Marmaduke,5.0,"['Comedy', 'Family']","['ChristopherMintz-Plasse', 'EmmaStone', 'GeorgeLopez', 'OwenWilson']",38579,Tom Dey,['']
Hereafter,5.8,"['Drama', 'Fantasy']","['BryceDallasHoward', 'GeorgeMcLaren', 'MattDamon', 'ThierryNeuvic']",44603,Clint Eastwood,['']
Murder by Numbers,6.0,"['Crime', 'Drama', 'Thriller']","['BenChaplin', 'MichaelPitt', 'RyanGosling', 'SandraBullock']",11892,Barbet Schroeder,"['detective', 'evidence', 'fbi', 'forensic', 'highschool', 'homicide', 'intellectual', 'murder', 'nerd', 'partner', 'rich', 'secret', 'vice']"
Assassins,6.0,"['Action', 'Adventure', 'Crime', 'Thriller']","['AnatoliDavydov', 'AntonioBanderas', 'JulianneMoore', 'SylvesterStallone']",9691,Richard Donner,"['assassination', 'bank', 'caribbean', 'cat', 'cia', 'competition', 'detroitmichigan', 'doublecross', 'hiddencamera', 'hitman', 'mexicanstandoff', 'missionofmurder', 'policechase', 'rescue', 'rivalry', 'seattle', 'shootout', 'silencer', 'sniperrifle']"
Hannibal Rising,6.0,"['Crime', 'Drama', 'Thriller']","['AaranThomas', 'DominicWest', 'GaspardUlliel', 'GongLi']",1248,Peter Webber,"['horror', 'psychopath', 'serialkiller', 'winter']"
The Story of Us,5.9,"['Comedy', 'Drama', 'Romance']","['BruceWillis', 'ColleenRennison', 'MichellePfeiffer', 'RobReiner']",12220,Rob Reiner,"['divorce', 'loveofoneslife', 'psychology', 'relationship', 'therapist', 'wedding']"
The Host,6.0,"['Action', 'Adventure', 'Romance', 'ScienceFiction', 'Thriller']","['DianeKruger', 'JakeAbel', 'SaoirseRonan', 'WilliamHurt']",72710,Andrew Niccol,"['alieninvasion', 'alienparasites', 'basedonnovel', 'duringcreditsstinger', 'dystopia', 'genocide', 'interspeciesromance', 'massmurder']"
Basic,6.2,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']","['ConnieNielsen', 'GiovanniRibisi', 'JohnTravolta', 'SamuelL.Jackson']",10782,John McTiernan,"['court', 'drugaddiction', 'lager', 'militarycourt', 'militarycrime', 'militaryservice', 'panama', 'ranger', 'supremecourt']"
Blood Work,6.1,"['Crime', 'Drama', 'Mystery', 'Thriller']","['AnjelicaHuston', 'ClintEastwood', 'JeffDaniels', 'WandaDeJesus']",9573,Clint Eastwood,"['ex-cop', 'fbiprofiler', 'heart', 'hearttransplant', 'houseboat', 'investigation', 'police', 'suspense']"
The International,6.0,"['Crime', 'Drama', 'Thriller']","['ArminMueller-Stahl', 'CliveOwen', 'NaomiWatts', 'UlrichThomsen']",4959,Tom Tykwer,['duringcreditsstinger']
Escape from L.A.,5.6,"['Action', 'Adventure', 'ScienceFiction', 'Thriller']","['KurtRussell', 'PamGrier', 'StacyKeach', 'SteveBuscemi']",10061,John Carpenter,"['attempttoescape', 'dystopia', 'earthquake', 'losangeles', 'prison', 'reluctanthero', 'usapresident']"
The Iron Giant,7.6,"['Adventure', 'Animation', 'Family', 'Fantasy', 'ScienceFiction']","['ChristopherMcDonald', 'EliMarienthal', 'JenniferAniston', 'VinDiesel']",10386,Brad Bird,"['1950s', 'coldwar', 'fearofunknown', 'friendship', 'giantrobot', 'laxative', 'sittingonatoilet']"
The Life Aquatic with Steve Zissou,7.1,"['Adventure', 'Comedy', 'Drama']","['AnjelicaHuston', 'BillMurray', 'CateBlanchett', 'WillemDafoe']",421,Wes Anderson,"['cynic', 'filmmaking', 'lossofmother', 'ocean', 'redcap', 'ship']"
Free State of Jones,6.6,"['Action', 'Drama', 'History', 'Thriller', 'War']","['GuguMbatha-Raw', 'KeriRussell', 'MahershalaAli', 'MatthewMcConaughey']",316152,Gary Ross,"['americancivilwar', 'slavery']"
The Life of David Gale,7.3,"['Crime', 'Drama', 'Thriller']","['GabrielMann', 'KateWinslet', 'KevinSpacey', 'LauraLinney']",11615,Alan Parker,"['activist', 'deathpenalty', 'deathrow', 'innocent', 'intern', 'interview', 'journalist', 'murder', 'prison', 'professor', 'reporter', 'texas']"
Man of the House,5.4,"['Action', 'Comedy']","['CedrictheEntertainer', 'ChristinaMilian', 'PaulaGarcés', 'TommyLeeJones']",13498,Stephen Herek,['']
Run All Night,6.3,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']","['BoydHolbrook', 'EdHarris', 'JoelKinnaman', 'LiamNeeson']",241554,Jaume Collet-Serra,"['hitman', 'mobster', 'murder', 'ontherun', 'revenge']"
Eastern Promises,7.2,"['Crime', 'Mystery', 'Thriller']","['ArminMueller-Stahl', 'NaomiWatts', 'ViggoMortensen', 'VincentCassel']",2252,David Cronenberg,"['bathhouse', 'diary', 'fathersonrelationship', 'femalenudity', 'gangster', 'gay', 'hitman', 'humantrafficking', 'jealousy', 'londonengland', 'malenudity', 'midwife', 'motherdaughterrelationship', 'motorcycle', 'murder', 'orphan', 'russian', 'sex', 'undercover', 'underworld']"
Into the Blue,5.8,"['Action', 'Adventure', 'Crime', 'Thriller']","['AshleyScott', 'JessicaAlba', 'PaulWalker', 'ScottCaan']",11968,John Stockwell,"['airplane', 'cocaine', 'diving', 'sailing', 'shipwreck', 'wrack']"
Joan of Arc,6.2,"['Action', 'Adventure', 'Drama', 'History', 'War']","['DustinHoffman', 'FayeDunaway', 'JohnMalkovich', 'MillaJovovich']",10047,Luc Besson,"['biography', 'charlesvii.', 'falsehistory', 'france', 'joanofarc', 'orléans', 'rape', 'religiousdelusions', 'schizophrenia', 'siege']"
Your Highness,5.2,['Comedy'],"['DannyMcBride', 'JamesFranco', 'NataliePortman', 'ZooeyDeschanel']",38319,David Gordon Green,"['dragon', 'kidnapping', 'king', 'knight', 'minotaur', 'prince', 'princess', 'revenge', 'swordandsorcery', 'traitor', 'virgin', 'wedding']"
Dream House,5.8,"['Drama', 'Mystery', 'Thriller']","['DanielCraig', 'MartonCsokas', 'NaomiWatts', 'RachelWeisz']",69668,Jim Sheridan,"['extensionladder', 'housefire', 'lastdayonjob']"
Mad City,5.9,"['Action', 'Drama', 'Thriller']","['AlanAlda', 'DustinHoffman', 'JohnTravolta', 'MiaKirshner']",9770,Costa-Gavras,"['hostagedrama', 'independentfilm', 'journalist', 'museum']"
Baby's Day Out,5.8,"['Action', 'Adventure', 'Comedy', 'Family']","['BrianHaley', 'JoeMantegna', 'JoePantoliano', 'LaraFlynnBoyle']",11212,Patrick Read Johnson,"['baby', 'hoodlum', 'lostchild']"
The Scarlet Letter,5.5,"['Drama', 'History', 'Romance']","['DemiMoore', 'GaryOldman', 'RobertDuvall', 'RobertProsky']",10533,Roland Joffé,"['basedonnovel', 'burningofwitches', 'extramaritalaffair', 'perioddrama', 'pregnancy', 'puritan']"
